log_file,instance_id,public_ip,instance_type,workload,measurement_start,measurement_duration_seconds,work_units_completed,throughput_work_per_sec,energy_joules,efficiency_joules_per_work,average_cpu_percent,memory_used_mb,memory_total_mb,has_cloudwatch_data,workload_output_total_count,workload_output_duration
t3.micro_pow.json,i-04bbaa19d84b0e26a,18.206.92.8,t3.micro,pow,2025-11-20T18:06:50.899449,300,0,0.0,0.0,inf,0.0,0,0,False,0,0.0
t3.2xlarge_zk.json,i-005c67216c4dd87d3,44.222.171.117,t3.2xlarge,zk,2025-11-20T20:42:04.466388,300,1802360,6007.866666666667,0.0,0.0,0.0,197,31720,False,1802360,300.00007796287537
t4g.2xlarge_bft.json,i-0555d26cd56a6ca02,34.224.26.127,t4g.2xlarge,bft,2025-11-20T20:36:33.012800,300,52444791,174815.97,0.0,0.0,0.0,207,31681,False,52444791,300.00000500679016
t4g.micro_pow.json,i-0175cc718c01f1a54,35.173.129.40,t4g.micro,pow,2025-11-20T18:06:50.490438,300,0,0.0,0.0,inf,0.0,0,0,False,0,0.0
t4g.2xlarge_pow.json,i-0555d26cd56a6ca02,34.224.26.127,t4g.2xlarge,pow,2025-11-20T20:25:27.384744,300,162809595,542698.65,276.7386091127098,1.6997684265028102e-06,3.843591793232081,203,31681,True,162809595,300.00000166893005
t3.2xlarge_bft.json,i-005c67216c4dd87d3,44.222.171.117,t3.2xlarge,bft,2025-11-20T20:36:32.615516,300,41441193,138137.31,0.0,0.0,0.0,195,31720,False,41441193,300.0000042915344
t4g.2xlarge_zk_cloudzk.json,i-0555d26cd56a6ca02,34.224.26.127,t4g.2xlarge,zk_cloudzk,2025-11-20T20:47:36.753107,300,834159,2780.53,0.0,0.0,0.0,194,31681,False,834159,300.0001139640808
t3.2xlarge_pow.json,i-005c67216c4dd87d3,44.222.171.117,t3.2xlarge,pow,2025-11-20T20:25:27.907423,300,171802959,572676.53,6.573317127586953,3.826079111703165e-08,0.0782537753284161,204,31720,True,171802959,300.00000071525574
t4g.2xlarge_zk.json,i-0555d26cd56a6ca02,34.224.26.127,t4g.2xlarge,zk,2025-11-20T20:42:04.829257,300,1576602,5255.34,0.0,0.0,0.0,188,31681,False,1576602,300.00004959106445
t3.micro_pos.json,i-0c89838a945ffe028,44.197.203.17,t3.micro,pos,2025-11-20T17:53:01.607169,300,0,0.0,0.0,inf,0.0,169,911,False,0,0.0
t4g.2xlarge_pos.json,i-0555d26cd56a6ca02,34.224.26.127,t4g.2xlarge,pos,2025-11-20T20:31:00.860976,300,1824153,6080.51,0.0,0.0,0.0,200,31681,False,1824153,300.0001199245453
t4g.micro_pos.json,i-03f0803358cfa54d0,54.226.218.180,t4g.micro,pos,2025-11-20T17:53:01.519439,300,0,0.0,0.0,inf,0.0,134,912,False,0,0.0
t4g.2xlarge_pow_gpu.json,i-0555d26cd56a6ca02,34.224.26.127,t4g.2xlarge,pow_gpu,2025-11-20T20:53:08.547910,300,0,0.0,0.0,inf,0.0,192,31681,False,0,0.0
t3.2xlarge_pow_gpu.json,i-005c67216c4dd87d3,44.222.171.117,t3.2xlarge,pow_gpu,2025-11-20T20:53:08.446659,300,0,0.0,0.0,inf,0.0,182,31720,False,0,0.0
t3.2xlarge_pos.json,i-005c67216c4dd87d3,44.222.171.117,t3.2xlarge,pos,2025-11-20T20:31:00.439403,300,1964782,6549.2733333333335,0.0,0.0,0.0,202,31720,False,1964782,300.0000283718109
t3.2xlarge_zk_cloudzk.json,i-005c67216c4dd87d3,44.222.171.117,t3.2xlarge,zk_cloudzk,2025-11-20T20:47:36.622040,300,875489,2918.2966666666666,0.0,0.0,0.0,192,31720,False,875489,300.0000331401825
