instance_type,architecture,category,vCPU,memory_gb,workload,work_units_completed,measurement_duration_seconds,throughput_work_per_sec,throughput_per_vcpu,throughput_per_core,energy_joules,efficiency_joules_per_work,efficiency_per_vcpu,efficiency_per_core,effective_vcpu,actual_vcpu,hourly_cost_usd,cost_per_work_usd,average_cpu_percent,max_cpu_percent,memory_usage_percent,memory_used_mb,memory_total_mb,average_gpu_percent,average_gpu_power_watts,instance_id,measurement_start
t3.micro,x86_64,x86,2,1,pow,0,300,0.0,0.0,0.0,540.0,inf,inf,inf,2,2,0.0104,inf,0.0,0.0,0.0,0,0,0,0,i-04bbaa19d84b0e26a,2025-11-20T18:06:50.899449
t3.2xlarge,x86_64,x86,8,32,zk,1802360,300,6007.866666666667,750.9833333333333,750.9833333333333,2520.0,0.0013981668479105174,0.00017477085598881467,0.00017477085598881467,8,8,0.3328,1.5387233035205693e-08,0.0,0.0,0.6210592686002522,197,31720,0,0,i-005c67216c4dd87d3,2025-11-20T20:42:04.466388
t4g.2xlarge,arm64,ARM,8,32,bft,52444791,300,174815.97,21851.99625,21851.99625,2160.0,4.1186168517670326e-05,5.148271064708791e-06,5.148271064708791e-06,8,8,0.2688,4.271158216647292e-10,0.0,0.0,0.6533884662731606,207,31681,0,0,i-0555d26cd56a6ca02,2025-11-20T20:36:33.012800
t4g.micro,arm64,ARM,2,1,pow,0,300,0.0,0.0,0.0,450.0,inf,inf,inf,2,2,0.0084,inf,0.0,0.0,0.0,0,0,0,0,i-0175cc718c01f1a54,2025-11-20T18:06:50.490438
t4g.2xlarge,arm64,ARM,8,32,pow,162809595,300,542698.65,67837.33125,67837.33125,2353.7170263788967,1.4456869242742706e-05,1.8071086553428383e-06,1.8071086553428383e-06,8,8,0.2688,1.3758402875457062e-10,3.843591793232081,3.843591793232081,0.6407626021905874,203,31681,0,0,i-0555d26cd56a6ca02,2025-11-20T20:25:27.384744
t3.2xlarge,x86_64,x86,8,32,bft,41441193,300,138137.31,17267.16375,17267.16375,2520.0,6.0809060202489824e-05,7.601132525311228e-06,7.601132525311228e-06,8,8,0.3328,6.692214032866605e-10,0.0,0.0,0.6147540983606558,195,31720,0,0,i-005c67216c4dd87d3,2025-11-20T20:36:32.615516
t4g.2xlarge,arm64,ARM,8,32,zk_cloudzk,834159,300,2780.53,347.56625,347.56625,2160.0,0.0025894343884079653,0.00032367929855099567,0.00032367929855099567,8,8,0.2688,2.685339365756408e-08,0.0,0.0,0.6123544080047979,194,31681,0,0,i-0555d26cd56a6ca02,2025-11-20T20:47:36.753107
t3.2xlarge,x86_64,x86,8,32,pow,171802959,300,572676.53,71584.56625,71584.56625,2524.601321989311,1.4694748778973657e-05,1.836843597371707e-06,1.836843597371707e-06,8,8,0.3328,1.6142523676401482e-10,0.0782537753284161,0.0782537753284161,0.6431273644388399,204,31720,0,0,i-005c67216c4dd87d3,2025-11-20T20:25:27.907423
t4g.2xlarge,arm64,ARM,8,32,zk,1576602,300,5255.34,656.9175,656.9175,2160.0,0.0013700350500633642,0.00017125438125792052,0.00017125438125792052,8,8,0.2688,1.4207770889545996e-08,0.0,0.0,0.593415611880938,188,31681,0,0,i-0555d26cd56a6ca02,2025-11-20T20:42:04.829257
t3.micro,x86_64,x86,2,1,pos,0,300,0.0,0.0,0.0,540.0,inf,inf,inf,2,2,0.0104,inf,0.0,0.0,18.551042810098792,169,911,0,0,i-0c89838a945ffe028,2025-11-20T17:53:01.607169
t4g.2xlarge,arm64,ARM,8,32,pos,1824153,300,6080.51,760.06375,760.06375,2160.0,0.0011841112011985837,0.00014801390014982296,0.00014801390014982296,8,8,0.2688,1.2279671716133459e-08,0.0,0.0,0.6312932041286575,200,31681,0,0,i-0555d26cd56a6ca02,2025-11-20T20:31:00.860976
t4g.micro,arm64,ARM,2,1,pos,0,300,0.0,0.0,0.0,450.0,inf,inf,inf,2,2,0.0084,inf,0.0,0.0,14.692982456140353,134,912,0,0,i-03f0803358cfa54d0,2025-11-20T17:53:01.519439
t4g.2xlarge,arm64,ARM,8,32,pow_gpu,0,300,0.0,0.0,0.0,2160.0,inf,inf,inf,8,8,0.2688,inf,0.0,0.0,0.6060414759635113,192,31681,0,0,i-0555d26cd56a6ca02,2025-11-20T20:53:08.547910
t3.2xlarge,x86_64,x86,8,32,pow_gpu,0,300,0.0,0.0,0.0,2520.0,inf,inf,inf,8,8,0.3328,inf,0.0,0.0,0.5737704918032787,182,31720,0,0,i-005c67216c4dd87d3,2025-11-20T20:53:08.446659
t3.2xlarge,x86_64,x86,8,32,pos,1964782,300,6549.2733333333335,818.6591666666667,818.6591666666667,2520.0,0.0012825850399688107,0.00016032312999610134,0.00016032312999610134,8,8,0.3328,1.4115221603889558e-08,0.0,0.0,0.6368221941992434,202,31720,0,0,i-005c67216c4dd87d3,2025-11-20T20:31:00.439403
t3.2xlarge,x86_64,x86,8,32,zk_cloudzk,875489,300,2918.2966666666666,364.7870833333333,364.7870833333333,2520.0,0.00287839139041153,0.00035979892380144125,0.00035979892380144125,8,8,0.3328,3.167753487860308e-08,0.0,0.0,0.605296343001261,192,31720,0,0,i-005c67216c4dd87d3,2025-11-20T20:47:36.622040
